Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bolivia,BOL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,378.542,376.429,374.317,372.104,369.89,367.677,365.464,363.251,360.912,358.573,356.235,353.896,351.557,347.221,342.884,338.548,334.211,329.875,324.247,318.619,312.991,307.363,301.735,296.132,290.528,284.924,279.32,273.717,268.304,262.891,257.478,252.065,246.652,241.612,236.572,231.533,226.493,221.453,216.963,212.472,207.982,203.491,199,195.201,191.401,187.602,183.802,180.002,176.339,172.675,169.011,165.347,161.683,158.648,155.613,152.578,
Brazil,BRA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,289.255,281.873,274.491,266.778,259.064,251.351,243.637,235.924,229.233,222.542,215.851,209.161,202.47,200.612,198.755,196.897,195.039,193.182,190.912,188.643,186.374,184.104,181.835,179.143,176.451,173.759,171.067,168.375,165.193,162.012,158.83,155.648,152.466,149.222,145.977,142.733,139.489,136.245,132.65,129.055,125.46,121.864,118.269,115.954,113.639,111.324,109.008,106.693,104.687,102.682,100.676,98.67,96.664,95.071,93.478,91.885,
Barbados,BRB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,225.231,220.622,216.012,211.825,207.638,203.451,199.263,195.076,191.28,187.485,183.689,179.893,176.098,172.663,169.228,165.793,162.358,158.924,155.82,152.716,149.612,146.508,143.404,140.602,137.8,134.999,132.197,129.395,126.868,124.341,121.814,119.287,116.76,114.483,112.205,109.928,107.65,105.372,103.32,101.268,99.216,97.164,95.113,93.264,91.416,89.568,87.72,85.872,84.128,82.384,80.64,78.897,77.153,76.101,75.05,73.999,
Brunei Darussalam,BRN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,215.399,211.242,207.085,202.77,198.455,194.139,189.824,185.509,181.624,177.738,173.853,169.968,166.082,162.591,159.1,155.609,152.117,148.626,145.494,142.362,139.23,136.098,132.966,130.16,127.354,124.548,121.742,118.936,116.424,113.913,111.401,108.89,106.378,104.132,101.886,99.64,97.394,95.148,93.14,91.133,89.125,87.117,85.11,83.316,81.523,79.729,77.935,76.142,72.045,67.947,63.85,59.753,55.656,53.88,52.105,50.329,
Bhutan,BTN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,583.067,581.877,580.687,578.978,577.269,575.56,573.851,572.142,565.791,559.441,553.09,546.739,540.388,532.116,523.844,515.572,507.299,499.027,491.302,483.577,475.851,468.126,460.401,452.56,444.719,436.878,429.037,421.196,411.945,402.694,393.443,384.192,374.941,365.504,356.067,346.629,337.192,327.755,318.733,309.71,300.688,291.665,282.643,274.06,265.477,256.893,248.31,239.727,236.962,234.196,231.431,228.665,225.899,221.168,216.437,211.705,
Botswana,BWA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,333.543,329.999,326.454,322.924,319.394,315.863,312.333,308.802,302.962,297.121,291.281,285.44,279.6,272.488,265.377,258.266,251.154,244.043,238.844,233.646,228.447,223.249,218.05,216.381,214.711,213.042,211.373,209.703,223.725,237.746,251.768,265.789,279.811,328.298,376.784,425.271,473.758,522.244,537.969,553.693,569.417,585.142,600.866,544.576,488.286,431.996,375.706,319.416,307.47,295.525,283.579,271.634,259.688,260.967,262.246,263.525,
Central African Republic,CAF,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,459.197,454.304,449.41,443.438,437.467,431.495,425.523,419.551,411.106,402.661,394.217,385.772,377.327,369.735,362.143,354.551,346.959,339.367,335.187,331.008,326.828,322.648,318.469,319.676,320.883,322.09,323.297,324.504,332.95,341.397,349.843,358.289,366.735,381.466,396.196,410.927,425.658,440.388,451.513,462.638,473.763,484.889,496.014,489.827,483.641,477.455,471.269,465.082,454.497,443.912,433.327,422.742,412.157,397.081,382.005,366.929,
Canada,CAN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,109.68,106.478,108.113,106.712,104.394,105.297,104.196,103.919,103.277,103.753,102.591,98.635,100.887,100.465,97.895,96.713,91.714,92.578,88.614,89.195,86.316,84.338,82.033,78.54,76.411,77.326,75.334,74.402,72.199,71.768,69.65,69.002,68.411,67.325,67.583,66.91,66.044,63.22,62.69,61.592,61.077,59.331,59.489,58.263,57.019,57.091,55.936,55.425,55.889,54.762,52.65,52.231,,,,,
Central Europe and the Baltics,CEB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,124.7192966,120.5638462,120.1311856,116.9477761,114.0272096,113.1585521,111.8886198,110.6402109,110.638172,112.165954,110.271683,110.1607621,107.4979896,107.1438635,106.7275888,106.4531692,106.9735174,107.2935387,108.5779904,108.2345449,109.7188065,108.4276124,107.3787974,108.1418941,108.5174181,109.2193116,107.412429,107.1107988,105.6106766,106.7454722,106.6051307,107.6617309,106.5146637,105.481574,105.4216095,104.4228978,100.3534146,100.6685226,98.28326016,97.26931664,94.6300847,92.78451792,90.0268384,89.17602843,87.28454171,86.79274036,85.58907588,84.87298083,82.1603818,79.96125869,76.65061097,74.27199518,72.4218261,70.73509446,67.48751351,,
Switzerland,CHE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,98.981,100.093,99.663,97.736,93.008,91.257,90.672,85.98,90.428,89.845,87.015,88.204,83.889,80.194,77.258,77.06,73.856,72.893,74.922,76.227,73.205,70.269,70.892,67.407,67.017,66.314,64.295,62.702,63.822,63.499,62.353,62.439,61.173,60.871,61.014,61.455,57.405,57.531,55.189,53.659,53.925,51.73,51.994,50.217,47.119,46.192,46.842,45.6,42.92,42.246,42.582,40.007,40.09,38.697,36.841,,
Channel Islands,CHI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,112.482,111.134,109.786,108.129,106.472,104.815,103.158,101.5,100.55,99.6,98.65,97.7,96.75,95.415,94.08,92.745,91.411,90.076,88.202,86.329,84.456,82.583,80.71,79.449,78.188,76.927,75.667,74.406,72.924,71.443,69.962,68.481,66.999,66.014,65.028,64.043,63.058,62.072,60.729,59.386,58.043,56.7,55.357,53.938,52.519,51.099,49.68,48.261,47.502,46.743,45.985,45.226,44.468,43.831,43.195,42.559,
Chile,CHL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,218.85,213.27,207.69,204.813,201.936,199.059,196.182,193.305,189.795,186.285,182.775,179.264,175.754,170.918,166.082,161.246,156.41,151.574,147.035,142.496,137.957,133.418,128.879,124.815,120.75,116.685,112.621,108.556,105.132,101.708,98.285,94.861,91.437,88.375,85.313,82.251,79.189,76.127,73.557,70.987,68.417,65.847,63.277,61.353,59.428,57.503,55.578,53.654,52.115,50.577,49.039,47.501,45.962,45.206,44.45,43.694,
China,CHN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,412.537,411.461,410.385,385.708,361.031,336.353,311.676,286.999,268.926,250.853,232.78,214.707,196.634,188.191,179.748,171.305,162.863,154.42,150.828,147.237,143.645,140.054,136.462,133.08,129.698,126.315,122.933,119.551,118.333,117.116,115.898,114.68,113.463,111.619,109.776,107.932,106.088,104.245,101.587,98.929,96.272,93.614,90.956,89.058,87.16,85.262,83.364,81.465,80.066,78.666,77.267,75.867,74.468,73.219,71.97,70.722,
Cote d'Ivoire,CIV,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,431.064,426.953,422.842,419.893,416.944,413.995,411.046,408.097,398.08,388.062,378.044,368.027,358.009,351.432,344.855,338.277,331.7,325.123,320.496,315.869,311.242,306.615,301.989,299.748,297.508,295.267,293.027,290.786,297.031,303.276,309.52,315.765,322.009,343.424,364.838,386.252,407.666,429.08,433.278,437.476,441.673,445.871,450.069,443.194,436.319,429.445,422.57,415.695,411.79,407.885,403.981,400.076,396.171,392.02,387.87,383.719,
Cameroon,CMR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,406.594,401.795,396.997,392.418,387.839,383.26,378.681,374.103,368.647,363.192,357.736,352.281,346.826,341.924,337.023,332.121,327.22,322.318,318.356,314.394,310.431,306.469,302.507,300.703,298.898,297.094,295.29,293.486,295.785,298.085,300.384,302.683,304.983,314.429,323.876,333.323,342.769,352.216,361.565,370.915,380.264,389.614,398.963,395.445,391.926,388.408,384.889,381.371,375.779,370.187,364.596,359.004,353.412,349.186,344.961,340.735,
"Congo, Dem. Rep.",COD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,412.564,410.212,407.861,404.933,402.004,399.076,396.148,393.22,389.445,385.67,381.896,378.121,374.346,372.547,370.747,368.947,367.147,365.347,362.438,359.529,356.62,353.712,350.803,348.689,346.575,344.46,342.346,340.232,337.731,335.23,332.73,330.229,327.728,328.994,330.26,331.526,332.793,334.059,328.605,323.152,317.698,312.245,306.791,299.977,293.163,286.349,279.534,272.72,267.804,262.889,257.973,253.057,248.141,244.662,241.183,237.704,
"Congo, Rep.",COG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,336.223,329.646,323.07,318.392,313.715,309.038,304.36,299.683,296.843,294.004,291.164,288.324,285.484,282.993,280.501,278.01,275.518,273.027,271.684,270.341,268.998,267.655,266.312,270.843,275.374,279.905,284.436,288.967,300.171,311.376,322.58,333.784,344.989,356.066,367.142,378.219,389.296,400.373,401.428,402.483,403.538,404.593,405.647,391.482,377.317,363.151,348.986,334.82,319.767,304.715,289.662,274.609,259.556,253.407,247.257,241.108,
Colombia,COL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,243.11,238.792,234.475,231.238,228.002,224.765,221.529,218.292,215.374,212.456,209.538,206.619,203.701,200.026,196.352,192.677,189.002,185.328,177.359,169.39,161.421,153.453,145.484,143.21,140.937,138.664,136.39,134.117,132.356,130.594,128.833,127.072,125.31,123.541,121.772,120.003,118.234,116.465,114.705,112.946,111.186,109.426,107.666,105.776,103.887,101.997,100.107,98.218,97.063,95.907,94.752,93.597,92.442,91.358,90.274,89.19,
Comoros,COM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,434.152,429.565,424.977,420.453,415.929,411.406,406.882,402.358,396.629,390.901,385.173,379.444,373.716,369.206,364.696,360.187,355.677,351.167,344.966,338.765,332.565,326.364,320.163,313.952,307.742,301.532,295.322,289.111,283.863,278.615,273.367,268.119,262.87,259.835,256.8,253.765,250.73,247.695,246.887,246.08,245.272,244.465,243.657,240.993,238.328,235.664,232.999,230.335,226.212,222.089,217.966,213.843,209.72,206.74,203.76,200.779,
Cabo Verde,CPV,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,355.242,353.784,352.326,346.27,340.214,334.158,328.101,322.045,315.585,309.125,302.665,296.206,289.746,282.399,275.052,267.705,260.358,253.012,245.708,238.405,231.102,223.799,216.496,211.578,206.66,201.743,196.825,191.907,187.866,183.824,179.782,175.741,171.699,166.773,161.847,156.921,151.994,147.068,143.037,139.005,134.973,130.942,126.91,123.077,119.243,115.409,111.576,107.742,106.594,105.445,104.296,103.147,101.998,99.632,97.265,94.898,
Costa Rica,CRI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,198.808,190.352,181.895,176.85,171.805,166.761,161.716,156.671,152.23,147.789,143.348,138.907,134.465,130.724,126.982,123.24,119.498,115.756,111.967,108.178,104.389,100.6,96.811,94.749,92.688,90.626,88.565,86.503,85.291,84.078,82.866,81.653,80.441,79.2,77.96,76.719,75.479,74.238,73.296,72.354,71.411,70.469,69.527,68.902,68.277,67.653,67.028,66.404,65.508,64.612,63.716,62.82,61.924,61.216,60.507,59.799,
Caribbean small states,CSS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,201.4610213,197.2104784,192.9263903,190.3414228,187.7389488,185.1546821,182.6619331,180.2286507,177.931998,175.5941234,173.1783112,170.6575782,168.0225598,165.6539744,163.2619106,160.8865559,158.4749378,156.1391386,154.6009602,153.0613169,151.4882492,149.8758978,148.2015283,147.2328601,146.2739331,145.3455208,144.4505067,143.578023,143.4992854,143.4458418,143.4203012,143.3555117,143.3241472,142.9219453,142.5281706,142.1350921,141.7835797,141.4369894,140.3693892,139.277166,138.1611872,137.0601012,135.935522,133.9960662,132.0637586,130.149757,128.2547182,126.3765475,124.9225744,123.4557907,121.9734506,120.5612974,119.1321563,117.9979024,116.8755498,141.4041147,
Cuba,CUB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,178.88,173.201,167.522,161.772,156.021,150.271,144.521,138.77,135.281,131.791,128.301,124.811,121.321,120.078,118.834,117.591,116.347,115.104,113.546,111.989,110.432,108.874,107.317,106.931,106.546,106.161,105.775,105.39,105.535,105.68,105.825,105.97,106.115,103.471,100.826,98.182,95.538,92.894,91.461,90.028,88.595,87.162,85.729,84.022,82.314,80.607,78.899,77.192,76.435,75.678,74.922,74.165,73.408,72.614,71.82,71.026,
Curacao,CUW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,194.37,188.144,181.919,178.019,174.119,170.219,166.319,162.419,156.95,151.481,146.011,140.542,135.073,129.174,123.275,117.376,111.477,105.579,103.269,100.96,98.65,96.341,94.032,92.616,91.201,89.785,88.37,86.955,86.717,86.479,86.241,86.002,85.764,85.699,85.633,85.568,85.502,85.436,84.544,83.652,82.76,81.868,80.976,79.762,78.549,77.335,76.122,74.908,73.493,72.077,70.661,69.246,67.83,67.111,66.392,65.673,
Cayman Islands,CYM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
